iata_code;city
ABQ;Albuquerque, NM
ACV;Arcata/Eureka, CA
ADW;Camp Springs, MD
AFW;Fort Worth, TX
AGS;Augusta, GA
AMA;Amarillo, TX
ANC;Anchorage, AK
ATL;Atlanta, GA
AUS;Austin, TX
BAB;Marysville, CA
BAD;Bossier City, LA
BDL;Hartford, CT
BGR;Bangor, ME
BHM;Birmingham, AL
BIL;Billings, MT
BLD;Boulder City, NV
BLV;Belleville, IL
BMI;Bloomington/Normal, IL
BNA;Nashville, TN
BOI;Boise, ID
BOS;Boston, MA
BUF;Buffalo, NY
BWI;Baltimore, MD
CAE;Columbia, SC
CBM;Columbus, MS
CHA;Chattanooga, TN
CHS;Charleston, SC
CID;Cedar Rapids, IA
CLE;Cleveland, OH
CLT;Charlotte, NC
CMH;Columbus, OH
COS;Colorado Springs, CO
CRP;Corpus Christi, TX
CRW;Charleston, WV
CVG;Cincinnati / Covington, KY
DAL;Dallas, TX
DAY;Dayton, OH
DCA;Washington, DC
DEN;Denver, CO
DFW;Dallas-Fort Worth, TX
DLF;Del Rio, TX
DLH;Duluth, MN
DOV;Dover, DE
DTW;Detroit, MI
DYS;Abilene, TX
EDW;Edwards, CA
END;Enid, OK
ERI;Erie, PA
EWR;New York, NJ
FAI;Fairbanks, AK
FFO;Dayton, OH
FLG;Flagstaff, AZ
FLL;Fort Lauderdale, FL
FSM;Fort Smith, AR
FTW;Fort Worth, TX
FWA;Fort Wayne, IN
GEG;Spokane, WA
GPT;Gulfport, MS
GRB;Green Bay, WI
GSB;Goldsboro, NC
GSO;Greensboro, NC
GSP;Greer, SC
GUS;Peru, IN
HIB;Hibbing, MN
HMN;Alamogordo, NM
HNL;Honolulu, HI
HOU;Houston, TX
HSV;Huntsville, AL
HTS;Huntington, WV
IAD;Washington, DC
IAH;Houston, TX
IND;Indianapolis, IN
JAN;Jackson, MS
JAX;Jacksonville, FL
JFK;New York, NY
JLN;Joplin, MO
LAS;Las Vegas, NV
LAX;Los Angeles, CA
LBB;Lubbock, TX
LEX;Lexington, KY
LFI;Hampton, VA
LFT;Lafayette, LA
LGA;New York, NY
LHS;Lake Havasu City, AZ
LIT;Little Rock, AR
LUF;Glendale, AZ
MBS;Saginaw, MI
MCF;Tampa, FL
MCI;Kansas City, MO
MCO;Orlando, FL
MDW;Chicago, IL
MEM;Memphis, TN
MFH;Mesquite, NV
MGE;Marietta, GA
MGM;Montgomery, AL
MIA;Miami, FL
MKE;Milwaukee, WI
MLI;Moline, IL
MLU;Monroe, LA
MOB;Mobile, AL
MSP;Minneapolis, MN
MSY;New Orleans, LA
MUO;Mountain Home, ID
NPH;Nephi, UT
OAK;Oakland, CA
OKC;Oklahoma City, OK
OMA;Omaha, NE
ONT;Ontario, CA
ORD;Chicago, IL
ORF;Norfolk, VA
PAM;Panama City, FL
PBI;West Palm Beach, FL
PDX;Portland, OR
PHF;Newport News, VA
PHL;Philadelphia, PA
PHX;Phoenix, AZ
PIA;Peoria, IL
PIT;Pittsburgh, PA
PRC;Prescott, AZ
PVD;Providence, RI
PWM;Portland, ME
RDU;Raleigh/Durham, NC
RFD;Chicago/Rockford, IL
RIC;Richmond, VA
RND;Universal City, TX
RNO;Reno, NV
ROA;Roanoke, VA
RST;Rochester, MN
RSW;Fort Myers, FL
SAN;San Diego, CA
SAT;San Antonio, TX
SAV;Savannah, GA
SDF;Louisville, KY
SEA;Seattle, WA
SFB;Orlando, FL
SFO;San Francisco, CA
SGF;Springfield, MO
SGU;St George, UT
SJC;San Jose, CA
SKA;Spokane, WA
SLC;Salt Lake City, UT
SMF;Sacramento, CA
SPI;Springfield, IL
SPS;Wichita Falls, TX
SRQ;Sarasota/Bradenton, FL
SSC;Sumter, SC
STL;St Louis, MO
SUS;St Louis, MO
SUX;Sioux City, IA
SYR;Syracuse, NY
SZL;Knob Noster, MO
TCM;Tacoma, WA
TIK;Oklahoma City, OK
TLH;Tallahassee, FL
TPA;Tampa, FL
TRI;Bristol/Johnson/Kingsport, TN
TUL;Tulsa, OK
TUS;Tucson, AZ
TYS;Knoxville, TN
UTH;Salt Lake City, UT
VGT;Las Vegas, NV
VIS;Visalia, CA
VPS;Valparaiso, FL
WRB;Warner Robins, GA
YUM;Yuma, AZ
